bout_id,event_id,promotion_id,bout_order,division,weight_class_id,bout_type,result_status,round,time,method_raw,method_normalized,technique,decision_score,is_title_bout,title_id,title_result,title_note,notes,inferred_from_video_id,inferred_from_video_title,inferred_confidence
max-bout-6-lightweight-tournament-eis5offdwks,max-bout-6-lightweight-tournament,max_bout,6,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_eis5offdwks,フルファイト！第６回 MAXバウトライト級トーナメント一回戦Ｂブロック　フラーム・グランvsワインセル,high
max-bout-6-lightweight-tournament-b3mm_ebk_my,max-bout-6-lightweight-tournament,max_bout,7,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_b3mm_ebk_my,フルファイト！第６回 MAXバウトライト級トーナメント一回戦Ｂブロック　ブルーワンvsきたむら,high
max-bout-6-lightweight-tournament-9hosl10mklo,max-bout-6-lightweight-tournament,max_bout,8,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_9hosl10mklo,フルファイト！第６回 MAXバウトライト級トーナメント一回戦Ｂブロック　ランダーデビルvsローリングジュニア,high
max-bout-6-lightweight-tournament-41mou0pvo8w,max-bout-6-lightweight-tournament,max_bout,9,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_41mou0pvo8w,フルファイト！第６回 MAXバウトライト級トーナメント決勝　ブルーワンvsコルト・アプロー,high
max-bout-6-lightweight-tournament-xxhhyfb8kq,max-bout-6-lightweight-tournament,max_bout,10,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_xxhhyfb8kq,フルファイト！第６回 MAXバウトライト級トーナメント準決勝第ニ試合　わくvsコルト・アプロー,high
max-bout-6-lightweight-tournament-z5lialvefc,max-bout-6-lightweight-tournament,max_bout,11,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_z5lialvefc,フルファイト！第６回 MAXバウトライト級トーナメント準決勝第一試合　ランダーデビルvsブルーワン（表記ミス→ランダーデビル34勝じゃなく24勝）,high
max-bout-6-lightweight-tournament-oynlvwudspu,max-bout-6-lightweight-tournament,max_bout,12,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_oynlvwudspu,フルファイト！第６回 MAXバウトライト級トーナメント２回戦 第一試合　マルコ・フレイザーvsランダーデビル,high
max-bout-6-lightweight-tournament-jdzqmwx4vg4,max-bout-6-lightweight-tournament,max_bout,13,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_jdzqmwx4vg4,フルファイト！第６回 MAXバウトライト級トーナメント２回戦 第三試合　わくvsゆめろう,high
max-bout-6-lightweight-tournament-pvujuvxd4a4,max-bout-6-lightweight-tournament,max_bout,14,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_pvujuvxd4a4,フルファイト！第６回 MAXバウトライト級トーナメント２回戦 第二試合　ブルーワンvsアイス・トロン,high
max-bout-6-lightweight-tournament-surk9nnwoxi,max-bout-6-lightweight-tournament,max_bout,15,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_surk9nnwoxi,フルファイト！第６回 MAXバウトライト級トーナメント２回戦 第四試合　コルト・アプローvsフラーム・グラン,high
max-bout-6-lightweight-tournament-pcudq7vtm_g,max-bout-6-lightweight-tournament,max_bout,16,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_pcudq7vtm_g,試合前インタビュー　わくvsゆめろう　第６回MAXバウトライト級トーナメント２回戦第三試合,high
max-bout-6-lightweight-tournament-s99fvrs7evw,max-bout-6-lightweight-tournament,max_bout,17,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_s99fvrs7evw,試合前インタビュー　コルト・アプローvsフラーム・グラン　第６回MAXバウトライト級トーナメント２回戦第四試合,high
max-bout-6-lightweight-tournament-a8qhaua4i1g,max-bout-6-lightweight-tournament,max_bout,18,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_a8qhaua4i1g,試合前インタビュー　ブルーワンvsアイス・トロン　第６回MAXバウトライト級トーナメント２回戦第二試合,high
max-bout-6-lightweight-tournament-ifu9zhhjmzi,max-bout-6-lightweight-tournament,max_bout,19,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_ifu9zhhjmzi,試合前インタビュー　マルコ・フレイザー vsランダーデビル　第６回MAXバウトライト級トーナメント２回戦第一試合,high
max-bout-7-lightweight-gp-yliawvelzbm,max-bout-7-lightweight-gp,max_bout,1,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n2c83076aedb9 lines 4-4. Structured result candidate from note-n6bea445ebaef lines 4-4. Structured result candidate from note-n584a22756e35 lines 4-4. Structured result candidate from note-nac5b58ff480e lines 4-4. Structured result candidate from note-ne16015350a06 lines 4-4.,youtube_yliawvelzbm,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第一試合］ランダーデビルvsキマイラの見どころ動画,high
