video_id,platform,platform_video_id,url,title,original_title,channel_name,published_at,official_status,video_type,link_status,duplicate_group_id,duplicate_note,notes,source_article_ids
youtube_1qlpvbzpx4,youtube,-1QlPvbzpX4,https://www.youtube.com/watch?v=-1QlPvbzpX4,アラカクライブ熱すぎるぜ！！,アラカクライブ熱すぎるぜ！！,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:06,
youtube_e5o8_bbfbq,youtube,_E5o8_BBFbQ,https://www.youtube.com/watch?v=_E5o8_BBFbQ,アラカクは架空を超える！！【アラカクライブほぼFull】（概要欄も是非）,アラカクは架空を超える！！【アラカクライブほぼFull】（概要欄も是非）,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:46:25,
youtube_xtlglo3vob4,youtube,xTLGlO3vOB4,https://www.youtube.com/watch?v=xTLGlO3vOB4,まによんpresentsアラカクライブNo.17［2026開幕戦］【概要欄見て】,まによんpresentsアラカクライブNo.17［2026開幕戦］【概要欄見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:48:04,
youtube_oftn9vz7u2c,youtube,OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:50:38,
youtube_yjwpan_r_c,youtube,YJwpaN--r-c,https://www.youtube.com/watch?v=YJwpaN--r-c,まによんpresents!!アラカクライブ-秋の陣-,まによんpresents!!アラカクライブ-秋の陣-,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:49:17,
youtube_8hb2ekqhmlw,youtube,8Hb2EkQhMlw,https://www.youtube.com/watch?v=8Hb2EkQhMlw,まによんpresents アラカクライブ【開幕戦】,まによんpresents アラカクライブ【開幕戦】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:57:25,
youtube_yn9h0c5mdhm,youtube,yN9h0C5MDHM,https://www.youtube.com/watch?v=yN9h0C5MDHM,まによんpresents アラカクライブNo.14【第７回MAXバウトライト級GPベスト8抽選会】,まによんpresents アラカクライブNo.14【第７回MAXバウトライト級GPベスト8抽選会】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:56:15,
youtube_q950wpczume,youtube,Q950wPcZuME,https://www.youtube.com/watch?v=Q950wPcZuME,まによんpresents アラカクライブNo.13【第７回MAXバウトライト級GP抽選会】,まによんpresents アラカクライブNo.13【第７回MAXバウトライト級GP抽選会】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=2:03:32,
youtube_fzjjfk0lzqw,youtube,FZjjFK0lzQw,https://www.youtube.com/watch?v=FZjjFK0lzQw,まによんpresents アラカクライブNo.12【Born】,まによんpresents アラカクライブNo.12【Born】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:48:34,
youtube_ge7twvxd9yu,youtube,gE7TwvXD9yU,https://www.youtube.com/watch?v=gE7TwvXD9yU,【見どころ動画】第7回MAXバウトライト級GP二回戦［Bブロック第二試合］ダブド・ガブリシャンvsローリングジュニア【概要欄見て】,【見どころ動画】第7回MAXバウトライト級GP二回戦［Bブロック第二試合］ダブド・ガブリシャンvsローリングジュニア【概要欄見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:09,
youtube_2cpxeyxdlp8,youtube,2CpXEYXDlP8,https://www.youtube.com/watch?v=2CpXEYXDlP8,【見どころ動画】第7回MAXバウトライト級GP二回戦［Bブロック第一試合］コルト・アプローvsブルーワン【概要欄見て】,【見どころ動画】第7回MAXバウトライト級GP二回戦［Bブロック第一試合］コルト・アプローvsブルーワン【概要欄見て】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=7:24,
