article_id,article_title,url,line_number,line_type,line_text
note-n74034f313f19,ターゲットNo.96試合結果,https://note.com/xyz1090/n/n74034f313f19,52,result_with_time,（2R3分19秒KO サッカーボールキック→パウンド）
note-n74034f313f19,ターゲットNo.96試合結果,https://note.com/xyz1090/n/n74034f313f19,60,result_with_time,（1R1分54秒KO 膝蹴り→パウンド）
note-n74034f313f19,ターゲットNo.96試合結果,https://note.com/xyz1090/n/n74034f313f19,67,result_with_time,（1R1分55秒KO 左ハイキック）
note-n729f0f7775b4,エンペラーNo.116試合結果,https://note.com/xyz1090/n/n729f0f7775b4,52,result_with_time,（3R終了判定3-0）
note-n729f0f7775b4,エンペラーNo.116試合結果,https://note.com/xyz1090/n/n729f0f7775b4,59,result_with_time,（1R0分58秒KO バックからのパウンド連打）
note-n729f0f7775b4,エンペラーNo.116試合結果,https://note.com/xyz1090/n/n729f0f7775b4,66,result_with_time,（1R4分08秒 RNC）
note-n5c0cf0bff5ff,マウンテン・ヒーローズNo.33対戦カード,https://note.com/xyz1090/n/n5c0cf0bff5ff,4,matchup,マウンテン・ヒーローズNo.33対戦カード｜アラカク通信のーと
note-n5c0cf0bff5ff,マウンテン・ヒーローズNo.33対戦カード,https://note.com/xyz1090/n/n5c0cf0bff5ff,31,matchup,マウンテン・ヒーローズNo.33対戦カード
note-nf8bb05b44038,ターゲットNo.96対戦カード,https://note.com/xyz1090/n/nf8bb05b44038,4,matchup,ターゲットNo.96対戦カード｜アラカク通信のーと
note-nf8bb05b44038,ターゲットNo.96対戦カード,https://note.com/xyz1090/n/nf8bb05b44038,31,matchup,ターゲットNo.96対戦カード
note-nf8bb05b44038,ターゲットNo.96対戦カード,https://note.com/xyz1090/n/nf8bb05b44038,47,result,☆ミドル級王座決定戦
note-n3f97c679c3d2,エンペラーNo.116対戦カード,https://note.com/xyz1090/n/n3f97c679c3d2,4,matchup,エンペラーNo.116対戦カード｜アラカク通信のーと
note-n3f97c679c3d2,エンペラーNo.116対戦カード,https://note.com/xyz1090/n/n3f97c679c3d2,31,matchup,エンペラーNo.116対戦カード
note-n91566d01688a,ターゲットNo.95試合結果,https://note.com/xyz1090/n/n91566d01688a,59,result_with_time,（3R終了 判定2-1）
note-n7162ed1dfdcf,マウンテン・ヒーローズNo.32試合結果,https://note.com/xyz1090/n/n7162ed1dfdcf,48,result,☆ライト級ワンマッチ（ノンタイトル）
note-n7162ed1dfdcf,マウンテン・ヒーローズNo.32試合結果,https://note.com/xyz1090/n/n7162ed1dfdcf,52,result_with_time,（3R終了 判定3-0）
note-n8395592b2179,ターゲットNo.95対戦カード,https://note.com/xyz1090/n/n8395592b2179,4,matchup,ターゲットNo.95対戦カード｜アラカク通信のーと
note-n8395592b2179,ターゲットNo.95対戦カード,https://note.com/xyz1090/n/n8395592b2179,31,matchup,ターゲットNo.95対戦カード
note-n8395592b2179,ターゲットNo.95対戦カード,https://note.com/xyz1090/n/n8395592b2179,46,matchup,ターゲットNo.95対戦カード
